word,level,
握,7,
扱,7,
依,7,
偉,7,
威,7,
為,7,
維,7,
緯,7,
違,7,
井,7,
壱,7,
稲,7,
芋,7,
陰,7,
隠,7,
影,7,
鋭,7,
越,7,
援,7,
煙,7,
縁,7,
鉛,7,
汚,7,
奥,7,
押,7,
沖,7,
憶,7,
暇,7,
箇,7,
菓,7,
雅,7,
介,7,
壊,7,
戒,7,
皆,7,
獲,7,
較,7,
刈,7,
乾,7,
勧,7,
歓,7,
汗,7,
環,7,
甘,7,
監,7,
鑑,7,
含,7,
奇,7,
幾,7,
祈,7,
輝,7,
鬼,7,
儀,7,
戯,7,
詰,7,
却,7,
脚,7,
丘,7,
及,7,
朽,7,
巨,7,
拠,7,
距,7,
凶,7,
叫,7,
恐,7,
況,7,
狂,7,
狭,7,
響,7,
驚,7,
仰,7,
駆,7,
屈,7,
掘,7,
繰,7,
傾,7,
恵,7,
継,7,
迎,7,
撃,7,
兼,7,
剣,7,
圏,7,
堅,7,
肩,7,
軒,7,
遣,7,
玄,7,
枯,7,
誇,7,
鼓,7,
互,7,
御,7,
恒,7,
抗,7,
攻,7,
更,7,
稿,7,
荒,7,
項,7,
香,7,
豪,7,
腰,7,
込,7,
婚,7,
鎖,7,
彩,7,
歳,7,
載,7,
剤,7,
咲,7,
惨,7,
伺,7,
刺,7,
旨,7,
紫,7,
脂,7,
雌,7,
執,7,
芝,7,
斜,7,
煮,7,
釈,7,
寂,7,
朱,7,
狩,7,
趣,7,
需,7,
秀,7,
舟,7,
襲,7,
柔,7,
獣,7,
瞬,7,
旬,7,
盾,7,
巡,7,
召,7,
床,7,
沼,7,
称,7,
紹,7,
詳,7,
丈,7,
畳,7,
飾,7,
殖,7,
触,7,
侵,7,
寝,7,
慎,7,
振,7,
浸,7,
薪,7,
震,7,
尋,7,
尽,7,
陣,7,
吹,7,
澄,7,
是,7,
姓,7,
征,7,
跡,7,
占,7,
扇,7,
鮮,7,
訴,7,
僧,7,
燥,7,
騒,7,
贈,7,
即,7,
俗,7,
耐,7,
替,7,
拓,7,
沢,7,
濁,7,
脱,7,
丹,7,
嘆,7,
淡,7,
端,7,
弾,7,
恥,7,
致,7,
遅,7,
蓄,7,
徴,7,
跳,7,
沈,7,
珍,7,
堤,7,
抵,7,
摘,7,
滴,7,
添,7,
殿,7,
吐,7,
渡,7,
途,7,
奴,7,
怒,7,
倒,7,
唐,7,
塔,7,
桃,7,
盗,7,
到,7,
踏,7,
逃,7,
透,7,
闘,7,
胴,7,
峠,7,
突,7,
曇,7,
鈍,7,
弐,7,
悩,7,
濃,7,
杯,7,
輩,7,
拍,7,
泊,7,
薄,7,
迫,7,
爆,7,
髪,7,
罰,7,
抜,7,
搬,7,
繁,7,
般,7,
販,7,
範,7,
盤,7,
彼,7,
疲,7,
被,7,
避,7,
尾,7,
微,7,
匹,7,
描,7,
浜,7,
敏,7,
怖,7,
敷,7,
普,7,
浮,7,
腐,7,
膚,7,
賦,7,
舞,7,
幅,7,
払,7,
噴,7,
柄,7,
壁,7,
舗,7,
捕,7,
峰,7,
抱,7,
砲,7,
傍,7,
坊,7,
帽,7,
忙,7,
冒,7,
肪,7,
凡,7,
盆,7,
慢,7,
漫,7,
妙,7,
眠,7,
矛,7,
霧,7,
娘,7,
茂,7,
猛,7,
網,7,
黙,7,
紋,7,
躍,7,
雄,7,
与,7,
誉,7,
溶,7,
謡,7,
踊,7,
翼,7,
頼,7,
雷,7,
絡,7,
欄,7,
離,7,
粒,7,
慮,7,
療,7,
隣,7,
涙,7,
隷,7,
麗,7,
齢,7,
暦,7,
劣,7,
烈,7,
恋,7,
露,7,
郎,7,
惑,7,
腕,7,
